player_name,team_name,hero_name,times_played,total_times_played
ANS,Los Angeles Gladiators,Ashe,8,12
ANS,Los Angeles Gladiators,Tracer,2,12
ANS,Los Angeles Gladiators,Widowmaker,2,12
AlphaYi,Hangzhou Spark,Echo,2,25
AlphaYi,Hangzhou Spark,Genji,16,25
AlphaYi,Hangzhou Spark,Pharah,1,25
AlphaYi,Hangzhou Spark,Tracer,2,25
AlphaYi,Hangzhou Spark,Widowmaker,4,25
Although,Toronto Defiant,Bastion,1,52
Although,Toronto Defiant,Genji,45,52
Although,Toronto Defiant,Hanzo,1,52
Although,Toronto Defiant,Pharah,1,52
Although,Toronto Defiant,Symmetra,4,52
Architect,Hangzhou Spark,Genji,6,10
Architect,Hangzhou Spark,Hanzo,1,10
Architect,Hangzhou Spark,Tracer,1,10
Architect,Hangzhou Spark,Widowmaker,2,10
Aspire,Vancouver Titans,Ashe,7,52
Aspire,Vancouver Titans,Genji,1,52
Aspire,Vancouver Titans,Hanzo,1,52
Aspire,Vancouver Titans,Sojourn,29,52
Aspire,Vancouver Titans,Symmetra,5,52
Aspire,Vancouver Titans,Tracer,1,52
Aspire,Vancouver Titans,Widowmaker,8,52
Assassin,Washington Justice,Genji,25,31
Assassin,Washington Justice,Tracer,1,31
Assassin,Washington Justice,Widowmaker,5,31
Backbone,London Spitfire,Bastion,2,65
Backbone,London Spitfire,Echo,1,65
Backbone,London Spitfire,Genji,35,65
Backbone,London Spitfire,Mei,13,65
Backbone,London Spitfire,Symmetra,3,65
Backbone,London Spitfire,Tracer,1,65
Backbone,London Spitfire,Widowmaker,10,65
Becky,Los Angeles Valiant,Echo,9,45
Becky,Los Angeles Valiant,Genji,20,45
Becky,Los Angeles Valiant,Junkrat,1,45
Becky,Los Angeles Valiant,Mei,2,45
Becky,Los Angeles Valiant,Symmetra,6,45
Becky,Los Angeles Valiant,Tracer,5,45
Becky,Los Angeles Valiant,Widowmaker,2,45
Checkmate,Florida Mayhem,Ashe,2,57
Checkmate,Florida Mayhem,Echo,1,57
Checkmate,Florida Mayhem,Genji,36,57
Checkmate,Florida Mayhem,Hanzo,1,57
Checkmate,Florida Mayhem,Junkrat,1,57
Checkmate,Florida Mayhem,Mei,3,57
Checkmate,Florida Mayhem,Pharah,5,57
Checkmate,Florida Mayhem,Symmetra,4,57
Checkmate,Florida Mayhem,Tracer,1,57
Checkmate,Florida Mayhem,Widowmaker,3,57
ChoiSehwan,Guangzhou Charge,Genji,29,48
ChoiSehwan,Guangzhou Charge,Hanzo,1,48
ChoiSehwan,Guangzhou Charge,Pharah,4,48
ChoiSehwan,Guangzhou Charge,Soldier: 76,1,48
ChoiSehwan,Guangzhou Charge,Sombra,1,48
ChoiSehwan,Guangzhou Charge,Tracer,8,48
ChoiSehwan,Guangzhou Charge,Widowmaker,4,48
Decay,Washington Justice,Genji,8,43
Decay,Washington Justice,Hanzo,1,43
Decay,Washington Justice,Sojourn,25,43
Decay,Washington Justice,Symmetra,4,43
Decay,Washington Justice,Tracer,2,43
Decay,Washington Justice,Widowmaker,3,43
Doha,Dallas Fuel,Genji,8,14
Doha,Dallas Fuel,Mei,2,14
Doha,Dallas Fuel,Symmetra,4,14
Dove,Vegas Eternal,Ashe,11,49
Dove,Vegas Eternal,Cassidy,1,49
Dove,Vegas Eternal,Hanzo,2,49
Dove,Vegas Eternal,Sojourn,18,49
Dove,Vegas Eternal,Symmetra,5,49
Dove,Vegas Eternal,Tracer,9,49
Dove,Vegas Eternal,Widowmaker,3,49
Edison,Dallas Fuel,Ashe,15,59
Edison,Dallas Fuel,Bastion,1,59
Edison,Dallas Fuel,Cassidy,1,59
Edison,Dallas Fuel,Sojourn,35,59
Edison,Dallas Fuel,Symmetra,4,59
Edison,Dallas Fuel,Tracer,3,59
Ezhan,Los Angeles Valiant,Ashe,14,61
Ezhan,Los Angeles Valiant,Bastion,2,61
Ezhan,Los Angeles Valiant,Echo,1,61
Ezhan,Los Angeles Valiant,Sojourn,23,61
Ezhan,Los Angeles Valiant,Soldier: 76,1,61
Ezhan,Los Angeles Valiant,Symmetra,6,61
Ezhan,Los Angeles Valiant,Tracer,7,61
Ezhan,Los Angeles Valiant,Widowmaker,7,61
Fits,Seoul Dynasty,Ashe,19,83
Fits,Seoul Dynasty,Sojourn,33,83
Fits,Seoul Dynasty,Sombra,1,83
Fits,Seoul Dynasty,Symmetra,13,83
Fits,Seoul Dynasty,Tracer,8,83
Fits,Seoul Dynasty,Widowmaker,9,83
Flora,New York Excelsior,Ashe,11,37
Flora,New York Excelsior,Sojourn,18,37
Flora,New York Excelsior,Symmetra,3,37
Flora,New York Excelsior,Tracer,5,37
Happy,Los Angeles Gladiators,Ashe,5,33
Happy,Los Angeles Gladiators,Genji,1,33
Happy,Los Angeles Gladiators,Hanzo,1,33
Happy,Los Angeles Gladiators,Pharah,3,33
Happy,Los Angeles Gladiators,Sojourn,14,33
Happy,Los Angeles Gladiators,Symmetra,5,33
Happy,Los Angeles Gladiators,Widowmaker,4,33
Happy,Washington Justice,Sojourn,8,11
Happy,Washington Justice,Symmetra,2,11
Happy,Washington Justice,Widowmaker,1,11
Heesu,Toronto Defiant,Ashe,40,78
Heesu,Toronto Defiant,Bastion,1,78
Heesu,Toronto Defiant,Echo,1,78
Heesu,Toronto Defiant,Reaper,2,78
Heesu,Toronto Defiant,Sojourn,18,78
Heesu,Toronto Defiant,Soldier: 76,1,78
